"Reference","Value","Qty","DNP","BOM","LCSC Part #","MPN"
"AE1","PCB Antenna 2.4GHz","1","","","",""
"C1,C8,C9,C12,C13,C19,C23,C26,C29,C35","100nF","10","","35V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C343047","CGA2B3X7R1V104KT0Y0F"
"C2,C5,C6,C7,C10,C14,C15,C20,C32,C33","1uF","10","","16V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C1592","CL10A105KO8NNNC"
"C3","15pF","1","","16V 15pF NP0 ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C1852854","CC0402KRNPO7BN150"
"C4","12pF","1","","25V 12pF null ±2% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C882545","GRM1555C1E120GA01D"
"C11,C18","10uF","2","","10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C315248","CL05A106MP5NUNC"
"C16,C17","1.8pF","2","","50V 1.8pF C0G 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"," C161415"," GRM0335C1H1R8BA01D"
"C21,C31","6.8pF","2","","50V 6.8pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C1576","0402CG6R8C500NT"
"C22,C24,C25,C30,C34,C36","22uF","6","","10V 22uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C6119813","CGA0402X5R226M100GT"
"DS1,DS2,DS3","GREEN","3","","LED GREEN [0603]","C125098","LTST-C191KGKT"
"IC1","ESP32-S3R8","1","","WiFi Modules - 802.11 SMD IC, Dual-Core MCU, Wi-Fi 2.4G & BLE 5.0 Combo, 8 MB Octal SPI PSRAM, QFN 56-pin, 7*7 mm","C2913194","ESP32-S3R8"
"J1","Micro_SD_Card_Det_Hirose_DM3AT","1","","-20℃~+90℃ 2mm Deck MicroSD card (TF card) Self bomb SMD SD Card / Memory Card Connector ROHS","C393941","TF PUSH"
"J2","USB C","1","","","C2894918","HC019-1E1H1A103-0HR"
"J8","33FXRH-SM1-GAN-TF","1","","SMD,P=0.6mm FFC/FPC Connectors ROHS","C2890488","33FXRH-SM1-GAN-TF"
"L1","22nH","1","","300mA 22nH ±5% 600mΩ 0402 Inductors (SMD) ROHS","C15178","SDCL1005C22NJTDF"
"L2","2nH","1","","300mA 2nH 200mΩ 0402 Inductors (SMD) ROHS","C279790","SDCL1005C2N0BTDF"
"L3","2.7nH","1","","500mA 2.7nH 200mΩ 0201 Inductors (SMD) ROHS","C98043"," LQP03TN2N7B02D"
"L4,L5","1uH","2","","1.2A 1uH ±20% 1.2A 1007 Power Inductors ROHS","C524998","BRFL2518T1R0M"
"Q1,Q3","S8050","2",""," 25V 300mW 500mA NPN SOT-23 Bipolar (BJT) ROHS ","C181158"," S8050"
"Q2","BSS84","1",""," 50V 130mA 200mW 10Ω@5V,100mA 2.5V@250uA 1 Piece P-Channel SOT-23 MOSFETs ROHS","C2926187"," IRF4905STRLP(UMW)"
"R1,R2,R3,R4,R12","10k","5","","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","C25531","0402WGJ0103TCE"
"R5,R6","4k99","2","","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 4.99kΩ 0402 Chip Resistor - Surface Mount ROHS","C137965","RC0402FR-074K99L"
"R7,R11,R13,R14,R30","100k","5","","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS","C25741","0402WGF1003TCE"
"R9,R10","TBD","2","","","",""
"R15,R16,R23","1k","3","","RES SMD 1k 1% [0603]","C844746","CRCW06031K00FKEAC"
"R17","22k","1","","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 22kΩ 0402 Chip Resistor - Surface Mount ROHS","C25768","0402WGF2202TCE"
"R18,R19,R21,R32","0R","4","","62.5mW Thick Film Resistors 50V ±800ppm/℃ ±1% 0Ω 0402 Chip Resistor - Surface Mount ROHS","C17168","0402WGF0000TCE"
"R31","680k","1","","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 680kΩ 0402 Chip Resistor - Surface Mount ROHS","C163456","RC0402FR-07680KL"
"SW1,SW2,SW3","B3U-1000P","3","","2.5mm 1.6mm Round Button 50mA Brick nogging 3mm SPST 153gf 12V SMD,2.5x3mm Tactile Switches ROHS","C231329","B3U-1000P"
"U1","W25Q128JVSIQ","1","","128Mbit SOIC-8-208mil NOR FLASH ROHS","C113767","W25Q128JVSIQ"
"U2,U4","SY8089A1AAC","2","","LOW LOSS POWER DISTRIBUTION SWITCH WITH","C479074","SY8089A1AAC"
"U5","USBLC6-2SC6","1","","5A 17V 6V Unidirectional 5.25V SOT-23-6 Electrostatic and Surge Protection (TVS/ESD) ROHS","C7519","USBLC6-2SC6"
"Y1","40MHz","1","","40MHz 贴片晶振 15pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS","C9010","X322540MPB4SI"
