Designator,Mid X,Mid Y,Rotation,Layer
AE1,122.07,-101.3,90.0,top
C1,135.75,-94.875,90.0,top
C10,125.69,-99.795,270.0,bottom
C11,126.68,-99.5,270.0,bottom
C12,129.47,-99.11,90.0,bottom
C13,162.43,-103.56,180.0,top
C14,139.25,-106.55,0.0,top
C15,134.35,-106.325,180.0,top
C16,129.82,-97.22,90.0,top
C17,127.88,-97.22,90.0,top
C18,150.65,-91.3,270.0,top
C19,128.25,-101.09,270.0,bottom
C2,136.725,-94.6,90.0,top
C20,139.25,-105.15,0.0,top
C21,140.725,-96.05,90.0,top
C22,138.775,-92.03,270.0,top
C23,137.95,-92.03,270.0,top
C24,137.125,-92.03,270.0,top
C25,138.775,-93.83225,90.0,top
C26,137.95,-93.83,90.0,top
C27,152.85,-97.0,180.0,top
C28,152.85,-96.2,180.0,top
C29,143.775,-93.79775,90.0,top
C3,135.09,-92.69,270.0,top
C30,144.575,-93.79775,90.0,top
C31,146.625,-96.00225,90.0,top
C32,158.25,-103.5,270.0,top
C33,156.7,-103.5,270.0,top
C34,144.575,-92.09775,270.0,top
C35,143.775,-92.09775,270.0,top
C36,142.975,-92.09775,270.0,top
C37,152.85,-95.4,180.0,top
C4,130.15,-92.6675,90.0,top
C5,128.15,-94.725,180.0,top
C6,128.125,-93.575,180.0,top
C7,128.125,-92.4,180.0,top
C8,128.0375,-99.7425,270.0,top
C9,125.6775,-99.7425,270.0,top
D1,151.75,-88.75,0.0,top
DS2,136.8,-88.45,270.0,top
DS3,142.7,-88.4,270.0,top
IC1,134.35,-100.145,0.0,top
J1,165.32,-109.25,90.0,top
J2,149.7322,-100.049968,0.0,top
J8,159.42,-94.35,270.0,bottom
L1,132.025,-95.125,0.0,top
L2,126.8425,-99.165,0.0,top
L3,128.86,-97.55,0.0,top
L4,146.556804,-89.24775,90.0,top
L5,140.65,-89.255,90.0,top
L6,159.4,-92.4,180.0,top
R1,128.15,-112.05,180.0,bottom
R10,142.75,-93.85,90.0,top
R11,139.7,-96.05,270.0,top
R12,164.23,-102.51,0.0,top
R13,145.55,-96.05,270.0,top
R14,147.525,-96.00225,90.0,top
R16,138.2,-88.6,270.0,top
R17,148.525,-93.80225,90.0,top
R18,143.4,-90.6,0.0,top
R19,149.1,-90.9,180.0,top
R2,128.15,-110.05,180.0,bottom
R20,150.75,-93.95,270.0,top
R21,149.6,-92.15,270.0,top
R23,144.1,-88.5,270.0,top
R3,164.25,-104.63,0.0,top
R32,137.5,-90.5,0.0,top
R4,164.23,-103.57,0.0,top
R5,147.375,-103.95,270.0,top
R6,151.88,-103.85,270.0,top
R7,139.44,-98.12,180.0,top
R9,141.725,-96.05,90.0,top
SW1,127.0396,-111.92,0.0,top
SW2,126.95,-108.85,0.0,top
SW3,162.2322,-100.025499,90.0,top
U1,134.25,-109.75,270.0,top
U2,140.725,-92.955,270.0,top
U3,153.35,-92.85,90.0,top
U4,146.55,-92.95,270.0,top
U5,149.7322,-104.83,90.0,top
Y1,132.625,-92.7675,0.0,top
