Designator,Mid X,Mid Y,Rotation,Layer
AE1,-19.48,-6.55,90.0,top
C1,-5.8,-0.125,90.0,top
C10,-15.86,-5.045,270.0,bottom
C11,-14.87,-4.75,270.0,bottom
C12,-12.08,-4.36,90.0,bottom
C13,20.88,-8.81,180.0,top
C14,-1.54,-8.44,0.0,top
C15,-7.74,-10.93,270.0,top
C16,-11.73,-2.47,90.0,top
C17,-13.67,-2.47,90.0,top
C18,4.4,-1.7,180.0,top
C19,-13.19,-6.34,270.0,bottom
C2,-4.825,0.15,90.0,top
C20,2.05,-17.02,180.0,top
C21,6.90225,5.24,270.0,top
C22,3.2,3.43,180.0,top
C23,3.2055,2.43225,180.0,top
C24,3.2055,1.63225,180.0,top
C25,5.19225,3.59,180.0,top
C26,5.19,2.81,180.0,top
C27,9.2,3.92,0.0,bottom
C28,13.83,2.77,0.0,top
C29,13.84,3.9,0.0,top
C3,-6.46,2.06,270.0,top
C30,11.41,3.88,270.0,top
C31,13.17,6.63,180.0,bottom
C32,13.3,-1.6,90.0,bottom
C33,12.16,-1.6,90.0,bottom
C4,-11.4,2.0825,90.0,top
C5,-13.4,0.025,180.0,top
C6,-13.425,1.175,180.0,top
C7,-13.425,2.35,180.0,top
C8,-13.5125,-4.9925,270.0,top
C9,-15.8725,-4.9925,270.0,top
D2,14.99,-0.2425,270.0,top
DS1,-15.48,-8.1275,90.0,top
DS2,22.83,-15.02,90.0,top
IC1,-7.2,-5.395,0.0,top
J1,23.77,-14.5,90.0,top
J2,8.1822,-5.299968,0.0,top
J8,17.87,0.4,270.0,bottom
L1,-9.525,-0.375,0.0,top
L2,-14.7075,-4.415,0.0,top
L3,-12.69,-2.8,0.0,top
L5,0.57,5.97,180.0,top
L7,13.82,6.19,90.0,top
L8,8.62,6.04,270.0,top
Q1,8.95,-0.5,90.0,top
Q2,12.15,-0.45,90.0,top
Q3,5.7125,-0.5,90.0,top
R1,-10.45,-17.03,180.0,top
R10,5.31225,7.74,180.0,top
R11,3.26225,7.74,0.0,top
R12,22.68,-7.76,0.0,top
R13,8.6,3.9,180.0,top
R14,13.19,7.67,180.0,bottom
R15,-14.0,-8.0375,90.0,top
R16,22.83,-12.19,90.0,top
R19,17.91,-6.48,0.0,top
R2,-10.45,-14.93,180.0,top
R20,17.92,-7.53,0.0,top
R21,16.17,-7.55,0.0,top
R3,22.7,-9.88,0.0,top
R30,10.55,-1.65,180.0,top
R31,7.35,-1.7,180.0,top
R32,-0.48,3.72,270.0,top
R4,22.68,-8.82,0.0,top
R5,5.825,-9.2,270.0,top
R6,10.33,-9.1,270.0,top
R7,12.14,1.57,0.0,top
R9,6.89225,7.19,90.0,top
SW1,-14.079998,-17.17,0.0,top
SW2,-14.079998,-14.22,0.0,top
SW3,20.6822,-5.275499,90.0,top
U1,8.1822,-15.27,90.0,top
U2,4.26225,5.59,0.0,top
U3,12.47,6.86,90.0,top
U5,8.1822,-10.08,90.0,top
Y1,-8.925,1.9825,0.0,top
